binary_name,dependency_name
optdrivectl,libheartbeat.so.3
optdrivectl,libcpp-ne.so.4
optdrivectl,libc.so.3
Persistency,libsys_colibry.cpp-ne.so.7
Persistency,libsys_trace_clienttrace.cpp-ne.so.7
Persistency,libsys_dsi_trace.cpp-ne.so.6
Persistency,libsys_dsi_colibry.cpp-ne.so.8
Persistency,libsys_colibry_net.cpp-ne.so.7
Persistency,libsys_dsi_servicebroker.cpp-ne.so.4
Persistency,libsocket.so.3
Persistency,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
Persistency,libwdgadapter.so.1
Persistency,libheartbeat.so.3
Persistency,libcpp-ne.so.4
Persistency,libc.so.3
pgsz,libsrm_client.so
pgsz,libsrm_client_cmd.so
pgsz,libc.so.3
pidin_g,libc.so.3
proc_tracker,libsrm_client.so
proc_tracker,libsrm_client_cmd.so
proc_tracker,libc.so.3
qnxcommd,libsocket.so.3
qnxcommd,libcpp-ne.so.4
qnxcommd,libc.so.3
rammon,libsrm_client.so
rammon,libsrm_client_cmd.so
rammon,libc.so.3
removablemedia,libsys_colibry.cpp-ne.so.7
removablemedia,libsys_trace_clienttrace.cpp-ne.so.7
removablemedia,libsys_dsi_trace.cpp-ne.so.6
removablemedia,libsys_dsi_colibry.cpp-ne.so.8
removablemedia,libsys_colibry_net.cpp-ne.so.7
removablemedia,libsys_dsi_servicebroker.cpp-ne.so.4
removablemedia,libsocket.so.3
removablemedia,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
removablemedia,libwdgadapter.so.1
removablemedia,libheartbeat.so.3
removablemedia,libcpp-ne.so.4
removablemedia,libc.so.3
rpm,libsqlite3.so.8
rpm,libpopt.so.0
rpm,libsocket.so.3
rpm,libc.so.3
RPMPackageManager,libsys_colibry.cpp-ne.so.7
RPMPackageManager,libsys_trace_clienttrace.cpp-ne.so.7
RPMPackageManager,libsys_dsi_trace.cpp-ne.so.6
RPMPackageManager,libsys_dsi_colibry.cpp-ne.so.8
RPMPackageManager,libsys_colibry_net.cpp-ne.so.7
RPMPackageManager,libsys_dsi_servicebroker.cpp-ne.so.4
